 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  2.03000  0.99930  1.36929    1.40970    1.78185    2.12073     2.20412     2.30039      2.42847
  2.04000  0.99929  1.37228    1.40990    1.78257    2.12443     2.20892     2.30540      2.43376
  2.05000  0.99927  1.37525    1.41010    1.78326    2.12798     2.21371     2.31040      2.43903
  2.06000  0.99926  1.37822    1.41029    1.78393    2.13139     2.21849     2.31539      2.44430
  2.07000  0.99926  1.38118    1.41048    1.78457    2.13466     2.22326     2.32037      2.44956
  2.08000  0.99925  1.38414    1.41066    1.78519    2.13779     2.22802     2.32534      2.45480
  2.09000  0.99925  1.38709    1.41084    1.78579    2.14081     2.23277     2.33029      2.46003
  2.10000  0.99924  1.39004    1.41100    1.78636    2.14369     2.23751     2.33524      2.46525
  2.11000  0.99924  1.39297    1.41117    1.78691    2.14646     2.24224     2.34017      2.47046
  2.12000  0.99924  1.39590    1.41133    1.78745    2.14912     2.24695     2.34510      2.47566
  2.13000  0.99924  1.39883    1.41148    1.78796    2.15167     2.25166     2.35001      2.48084
  2.14000  0.99925  1.40174    1.41163    1.78845    2.15411     2.25635     2.35491      2.48602
  2.15000  0.99925  1.40465    1.41178    1.78892    2.15645     2.26101     2.35980      2.49118
  2.16000  0.99925  1.40756    1.41192    1.78938    2.15869     2.26549     2.36468      2.49633
  2.17000  0.99926  1.41046    1.41206    1.78982    2.16084     2.26977     2.36954      2.50147
  2.18000  0.99927  1.41335    1.41219    1.79024    2.16290     2.27388     2.37440      2.50659
  2.19000  0.99928  1.41623    1.41232    1.79064    2.16487     2.27781     2.37925      2.51171
  2.20000  0.99928  1.41911    1.41244    1.79103    2.16676     2.28157     2.38408      2.51681
  2.21000  0.99929  1.42198    1.41256    1.79140    2.16857     2.28517     2.38890      2.52190
  2.22000  0.99930  1.42484    1.41268    1.79176    2.17030     2.28861     2.39371      2.52698
  2.23000  0.99931  1.42770    1.41279    1.79211    2.17196     2.29191     2.39851      2.53205
  2.24000  0.99932  1.43055    1.41290    1.79244    2.17355     2.29506     2.40330      2.53710
  2.25000  0.99933  1.43339    1.41300    1.79276    2.17507     2.29808     2.40808      2.54215
  2.26000  0.99935  1.43623    1.41311    1.79307    2.17652     2.30096     2.41284      2.54718
